1,1044
2,14
3,1078
4,63
5,11
6,1050
7,3
8,37
9,37
10,14
11,1064
12,12
13,3
14,1058
15,60
16,3
17,3
18,13
19,8
20,1081
21,29
22,22
23,1053
24,9
25,5
26,863
27,863
28,45
29,27
30,1077
31,37
32,45
33,1064
34,53
35,1
36,3
37,45
38,4
39,5
40,50
41,53
42,69
43,29
44,47
45,69
46,36
47,1060
48,49
49,1064
50,22
51,22
52,14
53,51
54,58
55,24
56,49
57,1072
58,16
59,64
60,64
61,1058
62,4
63,50
64,49
65,35
66,1091
67,49
68,5
69,37
70,16
71,41
72,1050
73,1068
74,38
75,13
76,13
77,22
78,1062
79,62
80,57
81,1041
82,1068
83,1074
84,32
85,1047
86,57
87,1048
88,1088
89,1066
90,1066
91,71
92,59
93,24
94,1082
95,47
96,5
97,5
98,11
99,1070
100,57
101,63
102,1080
103,1073
104,14
105,1071
106,37
107,1076
108,35
109,1055
110,39
111,1053
112,64
113,52
114,1080
115,1065
116,1050
117,43
118,1063
119,12
120,67
121,1084
122,57
123,1085
124,58
125,82
126,50
127,65
128,65
129,11
130,1055
131,1049
132,29
133,32
134,83
135,27
136,1087
137,64
138,1087
139,45
140,70
141,34
142,1088
143,1040
144,1055
145,1095
146,11
147,1096
148,11
149,1085
150,17
151,51
152,4
153,58
154,49
155,1044
156,69
157,17
158,37
159,88
160,38
161,44
162,88
163,1044
164,1101
165,60
166,1096
167,55
168,72
169,1090
170,1041
